scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,5747,MUSE,0.9999999999999999,1.0,1.0,0.9474522006940632,0.8941597139451728,1.0,1.0,0.9069148936170213,1.0,0.0,0.9004921377985835,0.9004921377985835,0.5,0.8786840495467558,0.8786840495467558,0.5,0.8761997471391179,0.8857941692899062,0.55,0.8773733544126532,0.8795294292998468,0.55,0.8817319352307582,0.8818032669947928,0.55,0.8817319352307582,0.8818032669947928,0.55,0.8817319352307582,0.881803266994793,0.55,0.754764723658425,0.759506364386943,0.55,0.57,0.863208385148339,0.8941597139451728,0.8454846006612146,0.9069148936170213,0.8542545710267229,0.9004921377985835,0.8773733544126532,0.8817319352307582,0.8222502363693666,0.9310569529519093,0.9079519749434487,0.8636363636363636,0.8629785826511205,0.8960802759485731,0.8795294292998468,0.8818032669947928,0.8077039733090688,0.9432996632996633,0.9267443883765443,0.8467117988394585,0.8631391297301677,0.892399821621966,0.8777694756760668,0.879520650545688,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,1225,MUSE,0.9998673439647102,0.9994648590795576,0.9994649545041155,0.7951644195013972,0.9388225718936517,1.0,0.9500000000000001,0.8037394030890721,1.0,0.0,0.8660451729963086,0.9336947682298726,0.05,0.6264729742585142,0.9378177750660972,0.05,0.7177880688914748,0.7387886874643017,0.55,0.6428355439391952,0.6431822959841806,0.45,0.7823302155347702,0.8756608377389182,0.05,0.7823302155347702,0.8756608377389182,0.05,0.7823302155347702,0.8756608377389182,0.05,0.3037974750500888,0.3037974750500888,0.5,0.54,0.31412337662337664,0.9388225718936517,0.6318367346938776,0.8037394030890721,0.41962591488208184,0.8660451729963086,0.6428355439391952,0.7823302155347702,0.31412337662337664,0.9388225718936517,0.6318367346938776,0.8037394030890721,0.41962591488208184,0.8660451729963086,0.6428355439391952,0.7823302155347702,0.28796471329552614,0.9533173221254878,0.7461224489795918,0.7375450005806526,0.415548988406456,0.8316637202907091,0.6236063543485826,0.7386132574217161,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,453,MUSE,1.0,1.0,1.0,0.8378113027452492,0.9069483949613978,1.0,1.0,0.8903071400079776,1.0,0.0,0.8985507246376812,0.9195571955719557,0.25,0.67792309527629,0.923622845555931,0.1,0.6923941881055341,0.7808278101668529,0.65,0.6845694799658995,0.6940972324289028,0.55,0.8297297297297297,0.8527027027027027,0.25,0.8297297297297297,0.8527027027027027,0.25,0.8297297297297297,0.8527027027027027,0.25,0.36942108168563537,0.3937679710879818,0.55,0.63,0.44889779559118237,0.9069483949613978,0.49448123620309054,0.8903071400079776,0.47058823529411764,0.8985507246376812,0.6845694799658995,0.8297297297297297,0.42159763313609466,0.9264448336252189,0.6291390728476821,0.8440366972477065,0.5048715677590787,0.8833228970987268,0.6940972324289028,0.8111486486486487,0.37011033099297896,0.9572083545593479,0.8145695364238411,0.7495013960909453,0.5089655172413793,0.8407158836689038,0.6748407004551416,0.7594594594594595,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,198,MUSE,1.0,1.0,1.0,0.7571090561778241,0.81951871657754,1.0,0.9500000000000001,0.8782234957020058,1.0,0.0,0.8478561549100968,0.8757841907151819,0.0,0.6225971961266079,0.6642526964560862,0.25,0.598202656941912,0.7123527539000318,0.7000000000000001,0.6060090023105398,0.6386002413809881,0.6000000000000001,0.7544642857142857,0.7801339285714286,0.25,0.7544642857142857,0.7801339285714286,0.25,0.7544642857142858,0.7801339285714286,0.25,0.21593584929676068,0.2929074413368359,0.65,0.7,0.42567567567567566,0.81951871657754,0.3181818181818182,0.8782234957020058,0.36416184971098264,0.8478561549100968,0.6060090023105398,0.7544642857142857,0.3810810810810811,0.8916349809885932,0.7121212121212122,0.671919770773639,0.49647887323943657,0.7663398692810458,0.6314093712602412,0.6808035714285714,0.35892116182572614,0.9396135265700483,0.8737373737373737,0.5573065902578797,0.5088235294117647,0.6996402877697842,0.6042319085907744,0.6272321428571429,0.0,0.7790178571428571,0.0,1.0,0.0,0.8757841907151819,0.43789209535759094,0.7790178571428571
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MUSE,0.9999826187125336,0.999767684980834,0.9997677209498712,0.942066343045625,0.9314420803782506,1.0,0.9500000000000001,0.8031710079275198,1.0,0.0,0.8625638530771101,0.8705310656022214,0.45,0.8829433682516135,0.8829433682516135,0.5,0.8734665640801141,0.875842867855392,0.45,0.874153514000638,0.8761779839575159,0.45,0.8752208480565371,0.8764355123674912,0.45,0.8752208480565371,0.8764355123674912,0.45,0.8752208480565371,0.8764355123674912,0.45,0.7494460566219279,0.7524617365558376,0.45,0.4616666666666667,0.8344446561249762,0.9314420803782506,0.9437621202327084,0.8031710079275198,0.8857431749241658,0.8625638530771101,0.874153514000638,0.8752208480565371,0.8647473073736537,0.8897824030274362,0.8995906054729584,0.8520951302378256,0.8818249023128103,0.8705310656022214,0.8761779839575159,0.8764355123674912,0.8535222510476951,0.9100123609394314,0.9215686274509803,0.8337485843714609,0.8862411935350186,0.8702127659574468,0.8782269797462328,0.8787544169611308,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,5747,MUSE,0.9999828937853895,0.9996802976138577,0.9996803997581618,0.9199134760074973,0.8959927376475165,1.0,1.0,0.8352272727272727,1.0,0.0,0.8645435775511481,0.8650157372765603,0.45,0.839958956014627,0.839958956014627,0.5,0.847838101301865,0.847838101301865,0.5,0.8424750239477018,0.8424750239477018,0.5,0.8455667308652542,0.8455667308652542,0.5,0.8455667308652542,0.8455667308652542,0.5,0.8455667308652542,0.8455667308652542,0.5,0.6854638203495391,0.6854638203495391,0.5,0.5116666666666666,0.7839251743817375,0.8959927376475165,0.8604489298764573,0.8352272727272727,0.8204064703442555,0.8645435775511481,0.8424750239477018,0.8455667308652542,0.7839251743817375,0.8959927376475165,0.8604489298764573,0.8352272727272727,0.8204064703442555,0.8645435775511481,0.8424750239477018,0.8455667308652542,0.7685576342788172,0.9116493032066026,0.8863755002610058,0.8145551257253385,0.8232727272727273,0.8603715763263742,0.8418221517995508,0.8439974320564948,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,1225,MUSE,0.9999999858925147,0.9999160204910001,0.9999160134372576,0.8138629991539061,0.9272379128769747,1.0,1.0,0.8997793519916386,1.0,0.0,0.9133022926858019,0.9360678151490293,0.15000000000000002,0.6720649023844333,0.7846349878459971,0.05,0.7017264106896969,0.7548830992157634,0.6000000000000001,0.6847472646423465,0.6870130344441153,0.55,0.8504473363155755,0.8814558763725091,0.2,0.8504473363155755,0.8814558763725091,0.2,0.8504473363155755,0.8814558763725091,0.2,0.37038656453896757,0.3801838874015906,0.55,0.61,0.4168918918918919,0.9272379128769747,0.5036734693877551,0.8997793519916386,0.45619223659889097,0.9133022926858019,0.6847472646423465,0.8504473363155755,0.3869475847893114,0.9401774397972117,0.6146938775510205,0.8614562768551852,0.4749290444654683,0.8990970244227623,0.6870130344441153,0.8307238714924766,0.33448540706605223,0.9510508849557522,0.7110204081632653,0.7987457902682615,0.4549490728649778,0.8682698983778324,0.6616094856214051,0.7878202521350143,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,50,MUSE,1.0,1.0,1.0,0.6790629183400267,0.9670103092783505,1.0,0.75,0.6278447121820616,1.0,0.0,0.7613636363636365,0.9676165803108808,0.0,0.5379923341263547,0.5390176005747126,0.25,0.6539223560910308,0.6539223560910308,0.5,0.47460447011551987,0.5423958476872904,0.30000000000000004,0.6311166875784191,0.9372647427854455,0.0,0.6311166875784191,0.9372647427854455,0.0,0.6311166875784191,0.9372647427854455,0.0,0.08936940858251019,0.08936940858251019,0.5,0.5,0.10897435897435898,0.9670103092783505,0.68,0.6278447121820616,0.18784530386740333,0.7613636363636365,0.47460447011551987,0.6311166875784191,0.10897435897435898,0.9670103092783505,0.68,0.6278447121820616,0.18784530386740333,0.7613636363636365,0.47460447011551987,0.6311166875784191,0.10897435897435898,0.9670103092783505,0.68,0.6278447121820616,0.18784530386740333,0.7613636363636365,0.47460447011551987,0.6311166875784191,0.0,0.9372647427854455,0.0,1.0,0.0,0.9676165803108808,0.4838082901554404,0.9372647427854455
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,453,MUSE,1.0,1.0,1.0,0.725845777518313,0.8842705786471068,1.0,0.8500000000000001,0.8655763861188672,1.0,0.0,0.8748236242693006,0.9173841362886975,0.30000000000000004,0.6091313367543835,0.736619241192412,0.30000000000000004,0.6193224093949745,0.6642421088501864,0.6000000000000001,0.6136370467540455,0.6136370467540455,0.5,0.7902027027027027,0.8476351351351351,0.30000000000000004,0.7902027027027027,0.8476351351351351,0.30000000000000004,0.7902027027027027,0.8476351351351351,0.30000000000000004,0.22773006011249464,0.22773006011249464,0.5,0.59,0.3339920948616601,0.8842705786471068,0.3730684326710817,0.8655763861188672,0.3524504692387905,0.8748236242693006,0.6136370467540455,0.7902027027027027,0.3339920948616601,0.8842705786471068,0.3730684326710817,0.8655763861188672,0.3524504692387905,0.8748236242693006,0.6136370467540455,0.7902027027027027,0.2562305295950156,0.9260143198090692,0.7262693156732892,0.6190666134822497,0.37881404720782963,0.7420511594549366,0.5604326033313831,0.635472972972973,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,138,MUSE,1.0,1.0,1.0,0.6801027428298358,0.9464411557434813,1.0,0.8,0.763501989766913,1.0,0.0,0.8451856513530521,0.962253829321663,0.0,0.5380741343570963,0.6640591966173361,0.25,0.6063886760428767,0.6285871419037496,0.6000000000000001,0.5232421763258768,0.5361263798113723,0.45,0.7406431207169215,0.9272535582498682,0.0,0.7406431207169215,0.9272535582498682,0.0,0.7406431207169215,0.9272535582498682,0.0,0.09965040361789812,0.09965040361789812,0.5,0.58,0.1297071129707113,0.9464411557434813,0.4492753623188406,0.763501989766913,0.20129870129870134,0.8451856513530521,0.5232421763258768,0.7406431207169215,0.1297071129707113,0.9464411557434813,0.4492753623188406,0.763501989766913,0.20129870129870134,0.8451856513530521,0.5232421763258768,0.7406431207169215,0.11736526946107785,0.9623352165725048,0.7101449275362319,0.5810119386014782,0.2014388489208633,0.7245657568238214,0.46300230287234234,0.5904059040590406,0.0,0.9272535582498682,0.0,1.0,0.0,0.962253829321663,0.4811269146608315,0.9272535582498682
