scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,5747,MUSE,1.0,1.0,1.0,0.9462746562919548,0.8926174496644296,1.0,0.9500000000000001,0.9003868471953579,1.0,0.0,0.8964853153586905,0.8964853153586905,0.5,0.8737096058894835,0.8747019653423802,0.55,0.8722397086159493,0.884432292737713,0.55,0.8729493640354999,0.8775023221804257,0.55,0.8773093658606177,0.8796633140737571,0.55,0.8773093658606177,0.8796633140737571,0.55,0.8773093658606177,0.8796633140737571,0.55,0.7459056685801324,0.7555611799900495,0.55,0.55,0.8548017621145374,0.8926174496644296,0.8440925700365408,0.9003868471953579,0.8494134127123094,0.8964853153586905,0.8729493640354999,0.8773093658606177,0.8166926677067082,0.9327112629780523,0.9109100400208805,0.8579545454545454,0.8612322118943819,0.8937724324664693,0.8775023221804257,0.8796633140737571,0.8166926677067082,0.9327112629780523,0.9109100400208805,0.8579545454545454,0.8612322118943819,0.8937724324664693,0.8775023221804257,0.8796633140737571,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,1225,MUSE,0.9998786994867336,0.9993755018288875,0.9993757801505609,0.7928794920592788,0.9364737550471063,0.9830890642615558,0.8,0.8080362327255836,1.0,0.0,0.8675269621594665,0.9339730658088435,0.15000000000000002,0.6247206680472439,0.7551737031749268,0.1,0.711365055138302,0.7348778377917187,0.55,0.6411443678877751,0.6434567424975121,0.45,0.7839568930459536,0.8768808458723059,0.15000000000000002,0.7839568930459536,0.8768808458723059,0.15000000000000002,0.7839568930459536,0.876880845872306,0.15000000000000002,0.2990734751683244,0.2990734751683244,0.5,0.56,0.31296758104738154,0.9364737550471063,0.6146938775510205,0.8080362327255836,0.41476177361608374,0.8675269621594665,0.6411443678877751,0.7839568930459536,0.31296758104738154,0.9364737550471063,0.6146938775510205,0.8080362327255836,0.41476177361608374,0.8675269621594665,0.6411443678877751,0.7839568930459536,0.2667973124300112,0.9565772669220945,0.7779591836734694,0.6958541400534201,0.3973316656243486,0.8056470588235294,0.601489362223939,0.706079707198048,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,453,MUSE,1.0,1.0,1.0,0.8384034636791817,0.9087561374795418,1.0,0.9500000000000001,0.8859194256082967,1.0,0.0,0.8971924863663906,0.9193280413513014,0.25,0.6772462857940345,0.9239093676022996,0.1,0.6968228474619851,0.7787677945461318,0.65,0.6859543443183862,0.6943107263974817,0.55,0.8280405405405405,0.8523648648648648,0.25,0.8280405405405405,0.8523648648648648,0.25,0.8280405405405407,0.8523648648648648,0.25,0.3724278806903193,0.39538265796009253,0.55,0.65,0.44573643410852715,0.9087561374795418,0.5077262693156733,0.8859194256082967,0.47471620227038186,0.8971924863663906,0.6859543443183862,0.8280405405405405,0.41797432239657634,0.9291722000885347,0.6467991169977925,0.8372556840845632,0.5077989601386481,0.8808224926563154,0.6943107263974817,0.8081081081081081,0.3421750663129973,0.963914707490432,0.8543046357615894,0.7032309533306741,0.4886363636363636,0.8131918819188193,0.6509141227775914,0.7263513513513513,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,198,MUSE,0.9999991343490304,0.9993416721527321,0.9993421049784041,0.7425074527510057,0.8168642951251647,1.0,0.9,0.8882521489971347,1.0,0.0,0.8510638297872342,0.8757841907151819,0.0,0.623760614715867,0.6550476190476191,0.30000000000000004,0.5931159734884663,0.6921869121009522,0.7000000000000001,0.6016513178786917,0.6282157676348548,0.6000000000000001,0.7578125,0.7801339285714286,0.30000000000000004,0.7578125,0.7801339285714286,0.30000000000000004,0.7578125,0.7801339285714286,0.30000000000000004,0.20933031865575735,0.2688965920857157,0.65,0.7,0.4306569343065693,0.8168642951251647,0.29797979797979796,0.8882521489971347,0.3522388059701492,0.8510638297872342,0.6016513178786917,0.7578125,0.3707865168539326,0.8777777777777778,0.6666666666666666,0.6790830945558739,0.4765342960288808,0.7657512116316639,0.6211427538302724,0.6763392857142857,0.3480083857442348,0.9236276849642004,0.8383838383838383,0.5544412607449857,0.49185185185185193,0.692927484333035,0.5923896680924434,0.6171875,0.0,0.7790178571428571,0.0,1.0,0.0,0.8757841907151819,0.43789209535759094,0.7790178571428571
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MUSE,0.9999873261601673,0.9997870404429559,0.9997870775360258,0.9430043365024379,0.9321989528795811,1.0,0.9,0.806568516421291,1.0,0.0,0.8648451730418942,0.8714748035136385,0.45,0.8845486743007531,0.8845486743007531,0.5,0.8753807891307058,0.8766411347185447,0.45,0.8760795673855821,0.8769636174016395,0.45,0.8770980565371025,0.877208480565371,0.45,0.8770980565371025,0.877208480565371,0.45,0.8770980565371025,0.877208480565371,0.45,0.7532332033151217,0.7540224547251109,0.45,0.46,0.8368983957219251,0.9321989528795811,0.9441930618401206,0.806568516421291,0.88731396172927,0.8648451730418942,0.8760795673855821,0.8770980565371025,0.8661548039012243,0.889780505074345,0.8993751346692523,0.853907134767837,0.8824524312896405,0.8714748035136385,0.8769636174016395,0.877208480565371,0.861899897854954,0.8985820716173997,0.9090713208360267,0.846885617214043,0.8848573825503356,0.8719682835820896,0.8784128330662127,0.8787544169611308,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,5747,MUSE,0.9999792824358976,0.999680316196344,0.9996803997689536,0.9204199424205515,0.8990741948102752,1.0,1.0,0.8335348162475822,1.0,0.0,0.8650649269180102,0.8651317746445356,0.45,0.8411119005547438,0.8411119005547438,0.5,0.8494279266551987,0.8494279266551987,0.5,0.8436261230440261,0.8436261230440261,0.5,0.8465653755617376,0.8465653755617376,0.5,0.8465653755617376,0.8465653755617376,0.5,0.8465653755617376,0.8465653755617376,0.5,0.6878408422990239,0.6878408422990239,0.5,0.52,0.7831496062992126,0.8990741948102752,0.8653210370628154,0.8335348162475822,0.8221873191700421,0.8650649269180102,0.8436261230440261,0.8465653755617376,0.7831496062992126,0.8990741948102752,0.8653210370628154,0.8335348162475822,0.8221873191700421,0.8650649269180102,0.8436261230440261,0.8465653755617376,0.764697105341689,0.914992483258166,0.8917696189316165,0.8093568665377177,0.8233593059683509,0.8589389954455066,0.8411491507069287,0.8431414508880805,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,1225,MUSE,0.9999996770953378,0.9999160204910001,0.9999160134372576,0.8192700366640675,0.9280248684839789,1.0,1.0,0.90140517942167,1.0,0.0,0.9145213549337261,0.9357868717385334,0.2,0.6756292820680764,0.8494377767420181,0.05,0.7049883039965492,0.7579075174373546,0.65,0.6882580819904077,0.6882580819904077,0.5,0.8524806832045547,0.8813542090280602,0.25,0.8524806832045547,0.8813542090280602,0.25,0.8524806832045547,0.8813542090280602,0.25,0.37734591924399374,0.37734591924399374,0.5,0.635,0.4232336956521739,0.9280248684839789,0.5085714285714286,0.90140517942167,0.46199480904708934,0.9145213549337261,0.6882580819904077,0.8524806832045547,0.4232336956521739,0.9280248684839789,0.5085714285714286,0.90140517942167,0.46199480904708934,0.9145213549337261,0.6882580819904077,0.8524806832045547,0.3106111484217596,0.9562554680664916,0.7551020408163265,0.7615840204389734,0.44016178919819177,0.8478893270411791,0.6440255581196854,0.7607767385115901,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,50,MUSE,1.0,1.0,1.0,0.6527041499330656,0.9613636363636363,1.0,0.7000000000000001,0.5662650602409639,1.0,0.0,0.7127211457455772,0.9676165803108808,0.0,0.5269003055767761,0.5404159132007234,0.15000000000000002,0.613132530120482,0.6220749665327978,0.45,0.4374416539538697,0.5318834828160965,0.30000000000000004,0.5721455457967378,0.9372647427854455,0.0,0.5721455457967378,0.9372647427854455,0.0,0.5721455457967378,0.9372647427854455,0.0,0.05854946151261453,0.085742762310419,0.45,0.47,0.09243697478991597,0.9613636363636363,0.66,0.5662650602409639,0.16216216216216217,0.7127211457455772,0.4374416539538697,0.5721455457967378,0.10887096774193548,0.9581056466302368,0.54,0.7041499330655957,0.18120805369127516,0.8117283950617284,0.4964682243765018,0.6938519447929736,0.10689655172413794,0.9625246548323472,0.62,0.6532797858099063,0.1823529411764706,0.7783094098883573,0.48033117553241395,0.6511919698870765,0.0,0.9372647427854455,0.0,1.0,0.0,0.9676165803108808,0.4838082901554404,0.9372647427854455
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,453,MUSE,1.0,1.0,1.0,0.6992055797849906,0.8810440735986307,1.0,0.8500000000000001,0.8213003589948146,1.0,0.0,0.8501238645747317,0.9171391988293397,0.0,0.5809714750015625,0.5989302020232162,0.35000000000000003,0.6038069123892396,0.6456671870638592,0.55,0.5877013374918267,0.5877013374918267,0.5,0.7547297297297297,0.8469594594594595,0.0,0.7547297297297297,0.8469594594594595,0.0,0.7547297297297297,0.8469594594594595,0.0,0.17994964362062216,0.18808909303832722,0.55,0.59,0.2808988764044944,0.8810440735986307,0.38631346578366443,0.8213003589948146,0.3252788104089219,0.8501238645747317,0.5877013374918267,0.7547297297297297,0.25849056603773585,0.9057894736842105,0.6048565121412803,0.686477861986438,0.3621943159286186,0.7810301792602677,0.5716122475944432,0.6739864864864865,0.22946367956551256,0.9226630800268998,0.7461368653421634,0.5472676505783806,0.3509865005192108,0.687030545818728,0.5190085231689694,0.5777027027027027,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,138,MUSE,1.0,1.0,1.0,0.6759604847945556,0.9395017793594306,1.0,0.8,0.7504263786242183,1.0,0.0,0.8343868520859672,0.962253829321663,0.0,0.5236126782976015,0.5890021175224986,0.25,0.5672421748193556,0.6533047433077094,0.6000000000000001,0.5013204101699678,0.537948691805303,0.35000000000000003,0.7237743806009489,0.9272535582498682,0.0,0.7237743806009489,0.9272535582498682,0.0,0.7237743806009489,0.9272535582498682,0.0,0.06163399470225184,0.07665994290461997,0.35000000000000003,0.6,0.10772357723577236,0.9395017793594306,0.38405797101449274,0.7504263786242183,0.16825396825396827,0.8343868520859672,0.5013204101699678,0.7237743806009489,0.15315315315315314,0.9322508398656215,0.12318840579710146,0.946560545764639,0.13654618473895583,0.9393511988716502,0.537948691805303,0.8866631523458092,0.11298315163528246,0.972972972972973,0.8260869565217391,0.49118817509948837,0.19877942458587616,0.6528145069890442,0.4257969657874602,0.5155508697944122,0.0,0.9272535582498682,0.0,1.0,0.0,0.962253829321663,0.4811269146608315,0.9272535582498682
