scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,BERT,1.0,1.0,1.0,0.9298887174205634,0.8914666666666666,1.0,1.0,0.8082688588007737,1.0,0.0,0.8478316003043368,0.8599873395868102,0.4,0.8580508919357217,0.858260042157762,0.45,0.8549323017408124,0.8582567698259187,0.45,0.8546157308520991,0.858256446156035,0.45,0.8549323017408124,0.8582567698259188,0.45,0.8549323017408124,0.8582567698259188,0.45,0.8549323017408124,0.8582567698259188,0.45,0.7098646034816247,0.7165135396518375,0.45,0.47,0.8246351172047767,0.8914666666666666,0.901595744680851,0.8082688588007737,0.8613998613998614,0.8478316003043368,0.8546157308520991,0.8549323017408124,0.859342791318055,0.8571772929974689,0.8567456479690522,0.8597678916827853,0.8580422543737515,0.8584706379383186,0.858256446156035,0.8582567698259188,0.8466200466200466,0.8734304369663486,0.8781431334622823,0.8409090909090909,0.8620935200569665,0.856861295885686,0.8594774079713263,0.8595261121856866,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,BERT,1.0,1.0,1.0,0.8953052719120651,0.8778770647170322,1.0,0.9500000000000001,0.7529903611659505,1.0,0.0,0.8106519972494843,0.828866457825734,0.45,0.830815311537044,0.830815311537044,0.5,0.8241203112298223,0.8287074671931252,0.45,0.8232259281525787,0.8287073193464367,0.45,0.8241203112298223,0.828707467193125,0.45,0.8241203112298223,0.828707467193125,0.45,0.8241203112298223,0.828707467193125,0.45,0.6482406224596446,0.6574149343862501,0.45,0.47,0.7837535583570557,0.8778770647170322,0.8952502612936941,0.7529903611659505,0.8357998590556731,0.8106519972494843,0.8232259281525787,0.8241203112298223,0.8293193717277487,0.828097832386693,0.8277784229473929,0.8296365114388573,0.8285481808671394,0.828866457825734,0.8287073193464367,0.828707467193125,0.8128982641177763,0.8507389162561576,0.8592497967715712,0.8022297061897573,0.8354316039067351,0.8257725180802105,0.8306020609934728,0.8307397514806643,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,BERT,1.0,1.0,1.0,0.8916903432256456,0.7367030062768417,1.0,1.0,0.8895093737534903,1.0,0.0,0.8059269967473799,0.8096872616323416,0.55,0.7986484331837153,0.8101533028644862,0.65,0.7857997606701237,0.8089349820502593,0.6000000000000001,0.7834708414978555,0.808842977995627,0.6000000000000001,0.7857997606701237,0.8089349820502593,0.6000000000000001,0.7857997606701237,0.8089349820502593,0.6000000000000001,0.7857997606701237,0.8089349820502593,0.6000000000000001,0.5715995213402474,0.6178699641005185,0.6000000000000001,0.61,0.8605938600905888,0.7367030062768417,0.6820901475867571,0.8895093737534903,0.7610146862483312,0.8059269967473799,0.7834708414978555,0.7857997606701237,0.795949560565533,0.8231122236128494,0.8308735540486637,0.7869964100518548,0.8130366900858704,0.8046492659053834,0.808842977995627,0.8089349820502593,0.795949560565533,0.8231122236128494,0.8308735540486637,0.7869964100518548,0.8130366900858704,0.8046492659053834,0.808842977995627,0.8089349820502593,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,BERT,1.0,1.0,1.0,0.7795851429791216,0.5746402877697842,1.0,0.9,0.9154727793696275,1.0,0.0,0.7060773480662984,0.7196132596685083,0.6000000000000001,0.6834469044482724,0.7512598992080634,0.9,0.6189111747851003,0.7227793696275071,0.65,0.5821629102856951,0.7214344384649535,0.65,0.6189111747851003,0.7227793696275072,0.65,0.6189111747851003,0.7227793696275072,0.65,0.6189111747851003,0.7227793696275072,0.65,0.23782234957020054,0.4455587392550143,0.65,0.65,0.7922535211267606,0.5746402877697842,0.3223495702005731,0.9154727793696275,0.4582484725050917,0.7060773480662984,0.5821629102856951,0.6189111747851003,0.6955974842767295,0.7587354409317804,0.7922636103151862,0.6532951289398281,0.7407903549899532,0.7020785219399538,0.7214344384649535,0.7227793696275072,0.6955974842767295,0.7587354409317804,0.7922636103151862,0.6532951289398281,0.7407903549899532,0.7020785219399538,0.7214344384649535,0.7227793696275072,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,BERT,1.0,1.0,1.0,0.9601859003031477,0.95620239390642,1.0,1.0,0.796149490373726,1.0,0.0,0.8688666419478432,0.8983050847457626,0.4,0.8944580742766302,0.9023880599967556,0.45,0.8807293454885221,0.9016121266870717,0.4,0.881494492513688,0.9018177875754398,0.4,0.8828401060070671,0.9019434628975265,0.4,0.8828401060070671,0.9019434628975265,0.4,0.8828401060070671,0.9019434628975265,0.4,0.7645747131258323,0.80365859738548,0.4,0.39,0.8327137546468402,0.95620239390642,0.9653092006033183,0.796149490373726,0.894122343079533,0.8688666419478432,0.881494492513688,0.8828401060070671,0.8959696138425828,0.9085012740328932,0.9148890325360913,0.888335220838052,0.9053304904051171,0.8983050847457626,0.9018177875754398,0.9019434628975265,0.9037180313776059,0.9009766068589597,0.9060547295841413,0.8985277463193658,0.9048848719604047,0.8997505103198005,0.9023176911401025,0.9023851590106007,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,BERT,1.0,1.0,1.0,0.9243576679876464,0.8808420495167483,1.0,0.9500000000000001,0.804279497098646,1.0,0.0,0.8408214849921011,0.8498018969864329,0.45,0.8503865458350064,0.8503865458350064,0.5,0.8477393617021276,0.8487669245647969,0.45,0.8474512337200557,0.8487597433806175,0.45,0.8477393617021277,0.8487669245647969,0.45,0.8477393617021277,0.8487669245647969,0.45,0.8477393617021277,0.8487669245647969,0.45,0.6954787234042553,0.6975338491295938,0.45,0.46,0.8199310421532644,0.8808420495167483,0.8911992263056093,0.804279497098646,0.8540809824480102,0.8408214849921011,0.8474512337200557,0.8477393617021277,0.8536405981858298,0.844025757214405,0.8418762088974855,0.8556576402321083,0.8477175897748022,0.8498018969864329,0.8487597433806175,0.8487669245647969,0.8469951923076923,0.851045719844358,0.8519100580270793,0.8461073500967118,0.8494455159112826,0.8485693501454897,0.8490074330283861,0.8490087040618955,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,BERT,1.0,1.0,1.0,0.9398959499575188,0.8167470848411741,0.9765625,1.0,0.9435605620717686,1.0,0.0,0.8755859690716093,0.877817057003977,0.55,0.8749668885850083,0.8754991130944392,0.55,0.8659273022877714,0.8730112646614795,0.6000000000000001,0.86511435689967,0.8729724618045118,0.6000000000000001,0.8659273022877715,0.8730112646614795,0.6000000000000001,0.8659273022877715,0.8730112646614795,0.6000000000000001,0.8659273022877715,0.8730112646614795,0.6000000000000001,0.731854604575543,0.746022529322959,0.6000000000000001,0.59,0.9331866923288424,0.8167470848411741,0.7882940425037742,0.9435605620717686,0.8546427447277306,0.8755859690716093,0.86511435689967,0.8659273022877715,0.8865222623345367,0.8604129263913824,0.8555336197886424,0.8904889095343166,0.8707523196028603,0.8751926040061634,0.8729724618045118,0.8730112646614795,0.8960670694119097,0.8525957633629678,0.8440366972477065,0.9021019626059691,0.8692740102858509,0.8766504909152465,0.8729622506005488,0.8730693299268377,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,BERT,1.0,1.0,1.0,0.8549835217711543,0.8157099697885196,1.0,0.8500000000000001,0.7228915662650602,1.0,0.0,0.7665010645848119,0.7823218997361477,0.45,0.7834559464327213,0.7948392290497553,0.55,0.7797858099062918,0.7797858099062918,0.5,0.779070671621095,0.779070671621095,0.5,0.7797858099062919,0.7797858099062919,0.5,0.7797858099062919,0.7797858099062919,0.5,0.7797858099062918,0.7797858099062918,0.5,0.5595716198125837,0.5595716198125837,0.5,0.46,0.7512019230769231,0.8157099697885196,0.8366800535475234,0.7228915662650602,0.7916402786573781,0.7665010645848119,0.779070671621095,0.7797858099062919,0.7512019230769231,0.8157099697885196,0.8366800535475234,0.7228915662650602,0.7916402786573781,0.7665010645848119,0.779070671621095,0.7797858099062919,0.7857142857142857,0.7819148936170213,0.7804551539491299,0.7871485943775101,0.7830758898589657,0.7845230153435623,0.7837994526012639,0.7838018741633199,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,BERT,1.0,1.0,1.0,0.8733577097012291,0.7179075738125802,1.0,0.8500000000000001,0.8923015556441962,1.0,0.0,0.7956606793526586,0.8053237981724275,0.55,0.7878262842719381,0.8045666512163209,0.55,0.7708416433984842,0.8045472676505784,0.55,0.7674103623778048,0.8045441577966663,0.55,0.7708416433984843,0.8045472676505784,0.55,0.7708416433984843,0.8045472676505784,0.55,0.7708416433984843,0.8045472676505784,0.55,0.5416832867969685,0.6090945353011568,0.55,0.55,0.8577449947312961,0.7179075738125802,0.6493817311527722,0.8923015556441962,0.739160045402951,0.7956606793526586,0.7674103623778048,0.7708416433984843,0.8069963811821471,0.8021369212504946,0.8005584363781412,0.8085360989230156,0.8037645174209052,0.8053237981724275,0.8045441577966663,0.8045472676505784,0.8069963811821471,0.8021369212504946,0.8005584363781412,0.8085360989230156,0.8037645174209052,0.8053237981724275,0.8045441577966663,0.8045472676505784,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,BERT,1.0,1.0,1.0,0.8649224115335055,0.6871165644171779,1.0,0.8,0.8914155770324048,1.0,0.0,0.7760455332838406,0.7780320366132722,0.55,0.7662929100403042,0.7981277523384832,0.6000000000000001,0.7427515633882888,0.7794201250710631,0.55,0.7369376247387482,0.7794114985326248,0.55,0.7427515633882888,0.7794201250710631,0.55,0.7427515633882888,0.7794201250710631,0.55,0.7427515633882888,0.7794201250710631,0.55,0.4855031267765776,0.5588402501421261,0.55,0.56,0.8454692556634305,0.6871165644171779,0.5940875497441728,0.8914155770324048,0.697829716193656,0.7760455332838406,0.7369376247387482,0.7427515633882888,0.7759685569904547,0.7829591249280369,0.7856736782262649,0.7731665719158612,0.7807909604519774,0.7780320366132722,0.7794114985326248,0.7794201250710631,0.7685381355932204,0.811042944785276,0.8249005116543491,0.7515633882888004,0.7957225116534138,0.7801711419297728,0.7879468267915932,0.7882319499715748,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
