scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,BERT,1.0,1.0,1.0,0.9364394160557487,0.8367763904653802,1.0,0.9500000000000001,0.8911992263056093,1.0,0.0,0.8631307809390001,0.8631307809390001,0.5,0.8602035559774535,0.8639693766007159,0.6000000000000001,0.8586798839458414,0.8634550290135397,0.55,0.8585302786364375,0.8634098151685479,0.55,0.8586798839458414,0.8634550290135397,0.55,0.8586798839458414,0.8634550290135397,0.55,0.8586798839458414,0.8634550290135397,0.55,0.7173597678916828,0.7269100580270793,0.55,0.56,0.8836307214895268,0.8367763904653802,0.8261605415860735,0.8911992263056093,0.8539297763338748,0.8631307809390001,0.8585302786364375,0.8586798839458414,0.8506940394261052,0.8771797766905031,0.8816489361702128,0.8452611218568665,0.8658949243098842,0.8609247060272116,0.8634098151685479,0.8634550290135397,0.8457037971779282,0.8850134151015715,0.8911992263056093,0.8374032882011605,0.8678556713167342,0.8605503447419095,0.8642030080293219,0.8643012572533849,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,BERT,0.9999999840959075,0.999910817800767,0.9999108257528133,0.8656129433740871,0.8516787080322992,1.0,0.9500000000000001,0.6981767506677505,1.0,0.0,0.7673261008296106,0.7927750029039378,0.45,0.7979735663550259,0.7979735663550259,0.5,0.7882940425037742,0.7928231332017187,0.45,0.7865606747889398,0.7928231220255204,0.45,0.7882940425037742,0.7928231332017187,0.45,0.7882940425037742,0.7928231332017187,0.45,0.7882940425037743,0.7928231332017187,0.45,0.5765880850075484,0.5856462664034374,0.45,0.47,0.7442684246777527,0.8516787080322992,0.8784113343397979,0.6981767506677505,0.8057952487482689,0.7673261008296106,0.7865606747889398,0.7882940425037742,0.7926871735345328,0.7929592192401533,0.7930553942631517,0.7925908721402857,0.7928712411471032,0.7927750029039378,0.7928231220255204,0.7928231332017187,0.7743955094991365,0.8194269917064589,0.8331204273603531,0.757287190802462,0.8026853146853148,0.7871325970185287,0.7949089558519218,0.7952038090814075,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,BERT,1.0,1.0,1.0,0.8860423363445536,0.7175597159457715,1.0,0.9,0.8867171918627842,1.0,0.0,0.7932203389830509,0.8063318350596052,0.55,0.7846671231085851,0.8216097152962936,0.6000000000000001,0.7688472277622657,0.8129238133226965,0.6000000000000001,0.7655904995842227,0.8116521078593211,0.6000000000000001,0.7688472277622657,0.8129238133226965,0.6000000000000001,0.7688472277622657,0.8129238133226965,0.6000000000000001,0.7688472277622657,0.8129238133226965,0.6000000000000001,0.5376944555245313,0.625847626645393,0.6000000000000001,0.6,0.8517745302713987,0.7175597159457715,0.6509772636617471,0.8867171918627842,0.7379606601853945,0.7932203389830509,0.7655904995842227,0.7688472277622657,0.7687564234326825,0.8744630071599045,0.8950937375349023,0.7307538891104907,0.8271286398820495,0.7961755758365927,0.8116521078593211,0.8129238133226965,0.7780522230063515,0.8614678899082568,0.8795372955723972,0.7491025129637017,0.8256880733944955,0.801365478984425,0.8135267761894602,0.8143199042680495,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,BERT,1.0,1.0,1.0,0.8128833096608402,0.6171648987463838,1.0,0.9,0.9169054441260746,1.0,0.0,0.7377521613832854,0.7593307593307594,0.55,0.7278025050834983,0.7510791366906475,0.9,0.6740687679083095,0.7349570200573066,0.6000000000000001,0.6536442926121726,0.7343266508657581,0.6000000000000001,0.6740687679083095,0.7349570200573066,0.6000000000000001,0.6740687679083095,0.7349570200573066,0.6000000000000001,0.6740687679083095,0.7349570200573066,0.6000000000000001,0.3481375358166189,0.46991404011461313,0.6000000000000001,0.57,0.8384401114206128,0.6171648987463838,0.43123209169054444,0.9169054441260746,0.5695364238410597,0.7377521613832854,0.6536442926121726,0.6740687679083095,0.7140992167101827,0.7603174603174603,0.7836676217765043,0.6862464183381088,0.7472677595628414,0.7213855421686748,0.7343266508657581,0.7349570200573066,0.7658227848101266,0.7198952879581152,0.6934097421203438,0.7879656160458453,0.7278195488721803,0.7523939808481532,0.7401067648601667,0.7406876790830945,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,BERT,0.9999999992506451,0.9999806437876235,0.9999806434129461,0.9539807559926139,0.9308661012593163,1.0,0.9,0.8203850509626274,1.0,0.0,0.8721406212376595,0.884862385321101,0.45,0.8886663516945178,0.8894643856382335,0.45,0.8812117023828435,0.8887618676706679,0.45,0.8819197905290888,0.8889814481971774,0.45,0.8827296819787986,0.8891342756183745,0.45,0.8827296819787986,0.8891342756183745,0.45,0.8827296819787986,0.8891342756183745,0.45,0.7646330396313841,0.7779956962698482,0.45,0.45,0.8464666021297192,0.9308661012593163,0.9420383538030597,0.8203850509626274,0.8916989598205181,0.8721406212376595,0.8819197905290888,0.8827296819787986,0.8827615238897074,0.8961672473867596,0.9036845507433743,0.8738391845979615,0.8931005110732538,0.884862385321101,0.8889814481971774,0.8891342756183745,0.8827615238897074,0.8961672473867596,0.9036845507433743,0.8738391845979615,0.8931005110732538,0.884862385321101,0.8889814481971774,0.8891342756183745,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,BERT,0.9999998548031528,0.9999709445913357,0.9999709454355035,0.9223583178577308,0.8619562484284636,1.0,1.0,0.8288201160541586,1.0,0.0,0.8450634783680512,0.8468164358049123,0.45,0.8485567039581201,0.8492278521954741,0.55,0.848041586073501,0.848041586073501,0.5,0.8479854220211742,0.8479854220211742,0.5,0.848041586073501,0.848041586073501,0.5,0.848041586073501,0.848041586073501,0.5,0.848041586073501,0.848041586073501,0.5,0.696083172147002,0.696083172147002,0.5,0.5028571428571429,0.8351571594877765,0.8619562484284636,0.8672630560928434,0.8288201160541586,0.8509073656742974,0.8450634783680512,0.8479854220211742,0.848041586073501,0.8351571594877765,0.8619562484284636,0.8672630560928434,0.8288201160541586,0.8509073656742974,0.8450634783680512,0.8479854220211742,0.848041586073501,0.8275705186533212,0.871517027863777,0.8795938104448743,0.8167311411992263,0.8527894983591185,0.8432351472790814,0.8480123228191,0.8481624758220503,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,BERT,1.0,0.9999720052630106,0.9999720044792614,0.9217492834492713,0.8184733803720333,0.9719887955182073,0.9500000000000001,0.8890953431657183,1.0,0.0,0.852323963261898,0.852323963261898,0.5,0.8485478238921682,0.8485478238921682,0.5,0.8459528510045291,0.8482754616188597,0.55,0.8456655922869354,0.8482719374644618,0.55,0.8459528510045291,0.8482754616188596,0.55,0.8459528510045291,0.8482754616188596,0.55,0.8459528510045291,0.8482754616188596,0.55,0.6919057020090582,0.6965509232377192,0.55,0.56,0.878622267412303,0.8184733803720333,0.80281035884334,0.8890953431657183,0.8390072213119728,0.852323963261898,0.8456655922869354,0.8459528510045291,0.8516651031894934,0.8449505406027145,0.8434560445941238,0.8530948786435955,0.8475406966567478,0.8490031782721758,0.8482719374644618,0.8482754616188596,0.8477708477708478,0.8515880429705744,0.8523980954592962,0.8469399605156196,0.850078174764028,0.8492576419213973,0.8496679083427127,0.8496690279874579,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,BERT,1.0,1.0,1.0,0.8303163569046378,0.7919254658385093,1.0,0.75,0.6827309236947792,1.0,0.0,0.7332854061826025,0.7653061224489796,0.45,0.7565509682133723,0.7682219181959711,0.7000000000000001,0.7516733601070951,0.7536813922356091,0.45,0.7504874119203557,0.7530755964357574,0.45,0.7516733601070951,0.7536813922356091,0.45,0.7516733601070951,0.7536813922356091,0.45,0.751673360107095,0.7536813922356091,0.45,0.5033467202141901,0.5073627844712182,0.45,0.49,0.7211764705882353,0.7919254658385093,0.820615796519411,0.6827309236947792,0.767689417658109,0.7332854061826025,0.7504874119203557,0.7516733601070951,0.7815750371471025,0.730816077953715,0.7041499330655957,0.8032128514056225,0.7408450704225352,0.7653061224489796,0.7530755964357574,0.7536813922356091,0.7360097323600974,0.7886904761904762,0.8099062918340026,0.7095046854082999,0.7711918419375399,0.7470049330514448,0.7590983874944923,0.7597054886211513,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,BERT,1.0,1.0,1.0,0.7555276020918851,0.6319037334156125,1.0,0.8500000000000001,0.8169126445951336,1.0,0.0,0.7125956854558105,0.7125956854558105,0.5,0.6865102423423239,0.7501496707244063,0.25,0.6705225368966892,0.6940566414040685,0.55,0.6633071885222978,0.6937289802614551,0.55,0.6705225368966893,0.6940566414040686,0.55,0.6705225368966893,0.6940566414040686,0.55,0.6705225368966893,0.6940566414040686,0.55,0.34104507379337856,0.38811328280813717,0.55,0.55,0.7411167512690355,0.6319037334156125,0.5241324291982449,0.8169126445951336,0.614018691588785,0.7125956854558105,0.6633071885222978,0.6705225368966893,0.6821415200299513,0.7076397780623133,0.7267650578380535,0.6613482249700837,0.7037466203167246,0.6837113402061856,0.6937289802614551,0.6940566414040686,0.6821415200299513,0.7076397780623133,0.7267650578380535,0.6613482249700837,0.7037466203167246,0.6837113402061856,0.6937289802614551,0.6940566414040686,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,BERT,1.0,1.0,1.0,0.794182182043715,0.6674733785091965,1.0,0.8,0.7839681637293917,1.0,0.0,0.721045751633987,0.721045751633987,0.5,0.7028826947642401,0.7532392744025338,0.8,0.6967026719727119,0.7222853894258101,0.55,0.6943752582523719,0.7203187911694555,0.55,0.6967026719727117,0.7222853894258101,0.55,0.6967026719727117,0.7222853894258101,0.55,0.6967026719727117,0.7222853894258102,0.55,0.3934053439454236,0.4445707788516202,0.55,0.54,0.7382920110192838,0.6674733785091965,0.6094371802160319,0.7839681637293917,0.6677047648707568,0.721045751633987,0.6943752582523719,0.6967026719727117,0.6903602726387537,0.7670765027322405,0.8061398521887436,0.6384309266628766,0.7437713086808286,0.6968662736580825,0.7203187911694555,0.7222853894258101,0.7015384615384616,0.7506377551020408,0.7777146105741899,0.6691301876065947,0.7376651388514425,0.7075443342350467,0.7226047365432446,0.7234223990903923,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
