scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,XLM-T,1.0,1.0,1.0,0.9609344967549169,0.9251629726205998,1.0,1.0,0.8578336557059961,1.0,0.0,0.8902270731401329,0.9059286679593396,0.4,0.8963204991568178,0.9046503717861902,0.45,0.8942214700193424,0.9046179883945842,0.45,0.8940812258270361,0.9046160800466323,0.45,0.8942214700193424,0.9046179883945842,0.45,0.8942214700193424,0.9046179883945842,0.45,0.8942214700193424,0.9046179883945842,0.45,0.7884429400386848,0.8092359767891683,0.45,0.43,0.8674780256930358,0.9251629726205998,0.9306092843326886,0.8578336557059961,0.8979353785139391,0.8902270731401329,0.8940812258270361,0.8942214700193424,0.9010304337407141,0.9082703098316662,0.9090909090909091,0.9001450676982592,0.9050427247562884,0.9041894353369763,0.9046160800466323,0.9046179883945842,0.9120137440176709,0.8999404407385349,0.8984526112185687,0.9133220502901354,0.9051823884050911,0.9065818683626329,0.9058821283838621,0.905887330754352,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,XLM-T,1.0,1.0,1.0,0.9138164124254086,0.8779471147583692,0.9809296781883194,0.8,0.782719777029381,1.0,0.0,0.8276031434184675,0.8449907538344392,0.4,0.840964128358755,0.842419810219875,0.45,0.8369527348739983,0.8424108698176751,0.45,0.8364717633814083,0.8424098411685135,0.45,0.8369527348739983,0.8424108698176751,0.45,0.8369527348739983,0.8424108698176751,0.45,0.8369527348739983,0.8424108698176751,0.45,0.6739054697479967,0.6848217396353502,0.45,0.44,0.8039811419591409,0.8779471147583692,0.8911856927186157,0.782719777029381,0.8453403833443489,0.8276031434184675,0.8364717633814083,0.8369527348739983,0.8441694875685771,0.8406701328711728,0.8398559981419115,0.8449657414934386,0.8420072185353359,0.8428124638016912,0.8424098411685135,0.8424108698176751,0.8531242518553986,0.8326567433468651,0.8276622924166763,0.8575078388108234,0.8402004126142057,0.8448995937982723,0.842550003206239,0.8425850656137499,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,XLM-T,1.0,1.0,1.0,0.8933970124974363,0.7392312789927104,1.0,1.0,0.8899082568807339,1.0,0.0,0.8076018099547511,0.8112312654145324,0.55,0.8004773629432489,0.814512214464836,0.75,0.787993617869964,0.8087355404866374,0.65,0.7857684821481505,0.8084026407650624,0.65,0.7879936178699641,0.8087355404866374,0.65,0.7879936178699641,0.8087355404866374,0.65,0.7879936178699641,0.8087355404866374,0.65,0.5759872357399283,0.6174710809732749,0.65,0.65,0.8617234468937875,0.7392312789927104,0.6860789788591942,0.8899082568807339,0.76393515434155,0.8076018099547511,0.7857684821481505,0.7879936178699641,0.7849779086892489,0.8368146214099217,0.8504188272836058,0.7670522536896689,0.816389048439594,0.8004162330905307,0.8084026407650624,0.8087355404866374,0.7849779086892489,0.8368146214099217,0.8504188272836058,0.7670522536896689,0.816389048439594,0.8004162330905307,0.8084026407650624,0.8087355404866374,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,XLM-T,1.0,1.0,1.0,0.7639807965451844,0.5580786026200873,0.9714285714285714,0.9,0.9154727793696275,1.0,0.0,0.6934346174715138,0.714663143989432,0.6000000000000001,0.6615094208319561,0.7481577246283129,0.9,0.5952722063037249,0.6977077363896849,0.65,0.5490355384512469,0.6975860766147578,0.65,0.5952722063037249,0.6977077363896849,0.65,0.5952722063037249,0.6977077363896849,0.65,0.5952722063037249,0.6977077363896849,0.65,0.1905444126074498,0.3954154727793696,0.65,0.64,0.7649402390438247,0.5580786026200873,0.27507163323782235,0.9154727793696275,0.4046364594309799,0.6934346174715138,0.5490355384512469,0.5952722063037249,0.6900826446280992,0.7059701492537314,0.7177650429799427,0.6776504297994269,0.7036516853932584,0.6915204678362572,0.6975860766147578,0.6977077363896849,0.7071005917159763,0.6944444444444444,0.6848137535816619,0.7163323782234957,0.6957787481804949,0.7052186177715091,0.700498682976002,0.7005730659025788,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,XLM-T,1.0,1.0,1.0,0.9839455217577928,0.9742083758937692,1.0,1.0,0.8640996602491506,1.0,0.0,0.9158564398031449,0.9389016018306637,0.4,0.9287384291920208,0.9413612588473761,0.4,0.9211685545374173,0.9407486524534023,0.4,0.9220934381819119,0.9409616843980464,0.4,0.9225927561837456,0.9410335689045937,0.4,0.9225927561837456,0.9410335689045937,0.4,0.9225927561837456,0.9410335689045936,0.4,0.8446615549622416,0.881935043941983,0.4,0.38,0.8832684824902723,0.9742083758937692,0.9782374488256841,0.8640996602491506,0.9283304365606788,0.9158564398031449,0.9220934381819119,0.9225927561837456,0.9340519974635384,0.9486705202312139,0.9521654815772462,0.9293318233295583,0.9430217669654289,0.9389016018306637,0.9409616843980464,0.9410335689045937,0.944048390581119,0.9387847300655071,0.9416074121956475,0.9413363533408834,0.9428263214670981,0.9400588102239312,0.9414425658455147,0.9414752650176679,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,XLM-T,1.0,0.9999709462796712,0.9999709454355035,0.9482165064663155,0.9069767441860465,1.0,1.0,0.843931334622824,1.0,0.0,0.8743189930490325,0.8839172646686365,0.45,0.880525785905615,0.883652144993816,0.45,0.8786871373307543,0.8836436170212766,0.45,0.8785404183073307,0.8836429704136881,0.45,0.8786871373307543,0.8836436170212766,0.45,0.8786871373307543,0.8836436170212766,0.45,0.8786871373307544,0.8836436170212766,0.45,0.7573742746615086,0.7672872340425532,0.45,0.45,0.8540748276251837,0.9069767441860465,0.9134429400386848,0.843931334622824,0.8827618435656288,0.8743189930490325,0.8785404183073307,0.8786871373307543,0.8854609498360257,0.8818433401516063,0.8812862669245648,0.8860009671179884,0.8833686761587398,0.8839172646686365,0.8836429704136881,0.8836436170212766,0.8854609498360257,0.8818433401516063,0.8812862669245648,0.8860009671179884,0.8833686761587398,0.8839172646686365,0.8836429704136881,0.8836436170212766,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,XLM-T,1.0,1.0,1.0,0.9472112226084984,0.8379229753073875,0.9766666666666667,1.0,0.9576123562884682,1.0,0.0,0.8937784522003035,0.894368139445088,0.55,0.8942358407223836,0.8942358407223836,0.5,0.8861920798978051,0.888805016838927,0.55,0.8856085857799917,0.8884957460939813,0.55,0.8861920798978051,0.888805016838927,0.55,0.8861920798978051,0.888805016838927,0.55,0.8861920798978051,0.888805016838927,0.55,0.7723841597956103,0.777610033677854,0.55,0.54,0.9505487061373797,0.8379229753073875,0.8147718035071421,0.9576123562884682,0.8774387193596799,0.8937784522003035,0.8856085857799917,0.8861920798978051,0.9345794392523364,0.8517545702878756,0.8361398211589827,0.9414702125188712,0.8826233527428746,0.894368139445088,0.8884957460939813,0.888805016838927,0.9387942332896462,0.8490408673894912,0.8318429915224712,0.9457670421553827,0.8820885413459763,0.8947975608416194,0.8884430510937978,0.888805016838927,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,XLM-T,1.0,1.0,1.0,0.8697279076143933,0.8240469208211144,1.0,0.9500000000000001,0.7523427041499331,1.0,0.0,0.7865640307907628,0.7971109652002627,0.45,0.7981072042529218,0.7992134585973345,0.55,0.7958500669344043,0.7958500669344043,0.5,0.7954629005781909,0.7954629005781909,0.5,0.7958500669344043,0.7958500669344043,0.5,0.7958500669344043,0.7958500669344043,0.5,0.7958500669344043,0.7958500669344043,0.5,0.5917001338688086,0.5917001338688086,0.5,0.48,0.7721674876847291,0.8240469208211144,0.8393574297188755,0.7523427041499331,0.8043617703656191,0.7865640307907628,0.7954629005781909,0.7958500669344043,0.7721674876847291,0.8240469208211144,0.8393574297188755,0.7523427041499331,0.8043617703656191,0.7865640307907628,0.7954629005781909,0.7958500669344043,0.7884615384615384,0.8151260504201681,0.8232931726907631,0.7791164658634538,0.8055009823182712,0.7967145790554415,0.8011077806868563,0.8012048192771084,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,XLM-T,1.0,1.0,1.0,0.8733375030170807,0.6337805840568271,1.0,0.8500000000000001,0.9609094535301157,1.0,0.0,0.7637920101458465,0.800071339397182,0.55,0.7764945789204168,0.7962244177840507,0.6000000000000001,0.7028320702034304,0.7911846828879139,0.6000000000000001,0.6816271878686222,0.7902927332656979,0.6000000000000001,0.7028320702034304,0.7911846828879139,0.6000000000000001,0.7028320702034304,0.7911846828879139,0.6000000000000001,0.7028320702034304,0.7911846828879139,0.6000000000000001,0.40566414040686083,0.5823693657758278,0.6000000000000001,0.59,0.9192085737840066,0.6337805840568271,0.44475468687674513,0.9609094535301157,0.5994623655913979,0.7637920101458465,0.6816271878686222,0.7028320702034304,0.7575864502470007,0.8348623853211009,0.8564020741922617,0.725967291583566,0.8039692941396742,0.7766161723917216,0.7902927332656979,0.7911846828879139,0.7953100158982512,0.7974379503602882,0.7981651376146789,0.7945751894694855,0.7967350189130002,0.796003996003996,0.7963695074584981,0.7963701635420821,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,XLM-T,1.0,1.0,1.0,0.8852880709974948,0.6635322976287816,1.0,0.9500000000000001,0.9226833428084139,1.0,0.0,0.7719381688466112,0.8058124174372523,0.55,0.7683333129934953,0.8129472752033664,0.65,0.7274019329164298,0.8092666287663446,0.6000000000000001,0.7165943051933514,0.8087145336415085,0.6000000000000001,0.7274019329164297,0.8092666287663445,0.6000000000000001,0.7274019329164297,0.8092666287663445,0.6000000000000001,0.7274019329164298,0.8092666287663445,0.6000000000000001,0.4548038658328596,0.618533257532689,0.6000000000000001,0.59,0.8731343283582089,0.6635322976287816,0.5321205230244457,0.9226833428084139,0.6612504415400918,0.7719381688466112,0.7165943051933514,0.7274019329164297,0.7792607802874744,0.8464968152866242,0.8629903354178511,0.755542922114838,0.8189910979228487,0.7984379693601682,0.8087145336415085,0.8092666287663445,0.8042035398230089,0.8216374269005848,0.8266060261512223,0.7987492893689596,0.8152509111298009,0.8100317094263476,0.8126413102780743,0.8126776577600909,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
